Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,TISSUE
SRR7812253,RNA-Seq,75,126123525,PRJNA490038,SAMN10023866,Plant,56827363,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663877,USA,North America,USA: Columbia,NextSeq 500,DD_2,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:27:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812254,RNA-Seq,75,157404900,PRJNA490038,SAMN10023866,Plant,71047332,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663876,USA,North America,USA: Columbia,NextSeq 500,DD_1,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:27:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812255,RNA-Seq,75,866568675,PRJNA490038,SAMN10023866,Plant,325104857,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663875,USA,North America,USA: Columbia,NextSeq 500,CCd_4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812256,RNA-Seq,75,490704750,PRJNA490038,SAMN10023866,Plant,184042835,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663874,USA,North America,USA: Columbia,NextSeq 500,CCd_3,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:29:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812257,RNA-Seq,75,1193486325,PRJNA490038,SAMN10023866,Plant,440660456,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663873,USA,North America,USA: Columbia,NextSeq 500,CCd_2,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:32:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812258,RNA-Seq,75,369961650,PRJNA490038,SAMN10023866,Plant,142396081,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663872,USA,North America,USA: Columbia,NextSeq 500,CCd_1,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:29:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812259,RNA-Seq,75,453611625,PRJNA490038,SAMN10023866,Plant,173987481,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663871,USA,North America,USA: Columbia,NextSeq 500,CCd_8,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:29:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812260,RNA-Seq,75,729304200,PRJNA490038,SAMN10023866,Plant,276956815,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663870,USA,North America,USA: Columbia,NextSeq 500,CCd_7,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812261,RNA-Seq,75,408880575,PRJNA490038,SAMN10023866,Plant,153135755,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663869,USA,North America,USA: Columbia,NextSeq 500,CCd_6,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:29:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812262,RNA-Seq,75,680788425,PRJNA490038,SAMN10023866,Plant,252685756,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663868,USA,North America,USA: Columbia,NextSeq 500,CCd_5,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812263,RNA-Seq,75,861319350,PRJNA490038,SAMN10023866,Plant,398981840,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663867,USA,North America,USA: Columbia,NextSeq 500,CCt_4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:31:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812264,RNA-Seq,75,715746450,PRJNA490038,SAMN10023866,Plant,263677327,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663866,USA,North America,USA: Columbia,NextSeq 500,CCt_5,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812265,RNA-Seq,75,161802075,PRJNA490038,SAMN10023866,Plant,73101315,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663865,USA,North America,USA: Columbia,NextSeq 500,DSC_4,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:28:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812266,RNA-Seq,75,927646950,PRJNA490038,SAMN10023866,Plant,342415596,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663864,USA,North America,USA: Columbia,NextSeq 500,CCt_1,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:31:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812267,RNA-Seq,75,540377250,PRJNA490038,SAMN10023866,Plant,202713650,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663863,USA,North America,USA: Columbia,NextSeq 500,CCt_2,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812268,RNA-Seq,75,474681525,PRJNA490038,SAMN10023866,Plant,177763092,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663862,USA,North America,USA: Columbia,NextSeq 500,CCt_3,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:29:00Z,1,Female gametophytic cells,SRP160651,Flower
SRR7812269,RNA-Seq,75,496307550,PRJNA490038,SAMN10023866,Plant,197120813,Female gametophytic cells,THE UNIVERSITY OF TEXAS AT AUSTIN,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0 days after anthesis,Col-0,SRX4663861,USA,North America,USA: Columbia,NextSeq 500,ECd_8,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-10-01T00:00:00Z,2018-09-10T05:30:00Z,1,Female gametophytic cells,SRP160651,Flower
