Merge_Col	CCd_1_readcounts.tab	CCd_2_readcounts.tab	CCd_3_readcounts.tab	CCd_4_readcounts.tab	CCd_5_readcounts.tab	CCd_6_readcounts.tab	CCd_7_readcounts.tab	CCd_8_readcounts.tab	CCt_1_readcounts.tab	CCt_2_readcounts.tab	CCt_3_readcounts.tab	CCt_4_readcounts.tab	CCt_5_readcounts.tab	CCt_6_readcounts.tab	CCt_7_readcounts.tab	CCt_8_readcounts.tab	DD_1_readcounts.tab	DD_2_readcounts.tab	DD_3_readcounts.tab	DD_4_readcounts.tab	DD_5_readcounts.tab	DSC_1_readcounts.tab	DSC_2_readcounts.tab	DSC_3_readcounts.tab	DSC_4_readcounts.tab	ECd_1_readcounts.tab	ECd_2_readcounts.tab	ECd_3_readcounts.tab	ECd_4_readcounts.tab	ECd_5_readcounts.tab	ECd_6_readcounts.tab	ECd_7_readcounts.tab	ECd_8_readcounts.tab	ECt_1_readcounts.tab	ECt_2_readcounts.tab	ECt_3_readcounts.tab	ECt_4_readcounts.tab	ECt_5_readcounts.tab	ECt_6_readcounts.tab	ECt_7_readcounts.tab	ECt_8_readcounts.tab	TT_1_readcounts.tab	TT_2_readcounts.tab	TT_3_readcounts.tab	TT_4_readcounts.tab	TT_5_readcounts.tab
AT1G01010	21	0	27	0	111	0	5	25	9	0	0	0	152	28	0	103	0	0	0	0	0	0	0	0	0	1	0	1	0	0	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AT1G01020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	2	18	0	1	22	2	2	56	109	31	22	0	128	0	0	1013	0	0	0	0	44	60	0	53	95	0	0	0	86
AT1G01030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	172	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0
AT1G01040	35	504	201	209	138	2	165	18	236	153	39	313	89	186	294	193	0	11	70	3	271	1	1	22	0	0	59	30	412	154	283	0	0	22	27	0	189	96	179	22	46	205	66	65	98	214
AT1G01046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01050	474	2050	979	540	536	956	1407	792	1936	495	593	1107	588	780	645	1086	0	1	0	2	1	196	67	35	101	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	119
AT1G01060	19	535	7	154	197	58	19	43	241	0	64	326	126	476	1	240	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AT1G01070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	79	271	21	579	67	126	241	46	651	168	49	46	332	639	3	262	0	0	0	46	0	0	0	0	0	47	0	82	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	19	35	0
AT1G01090	155	362	255	1387	1106	200	553	466	2631	506	290	930	760	1026	382	719	65	52	98	10	161	0	0	0	0	0	11	1	22	72	167	1	178	103	0	32	47	20	109	114	143	225	276	137	29	65
AT1G01100	820	2392	523	2595	1944	962	2717	1151	2553	913	583	3655	707	1840	2904	2047	570	494	518	1246	787	137	103	85	301	392	106	690	481	620	554	136	526	273	276	707	633	384	350	244	212	397	764	137	391	418
AT1G01110	0	0	0	0	0	0	0	0	0	15	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	0	0	0	0	0	24	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01130	17	0	23	0	0	9	6	19	1	0	0	0	0	1	0	0	0	39	185	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85
AT1G01140	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	81	575	41	433	402	128	413	346	567	108	499	157	116	333	946	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01170	34	0	0	57	93	0	1	0	72	28	6	0	0	25	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
